SNR,Number,Word,File Name,Correct/Wrong
25,1,F AA G,faag1M2,
25,2,B IY F,beef1M2,
25,3,D AA S,daas1M2,
25,4,G IY S,gees1M2,
25,5,CH IY F,cheef1M2,
20,1,B AA B,baab1M2,
20,2,D UW M,doom1M2,
20,3,CH AA K,chaak1M2,
20,4,F IY D,feed1M2,
20,5,B UW T,boot1M2,
