SNR,Number,Non-word,File Name,Correct/Wrong
25,1,B AA F,baaf1M2,
25,2,B IY NG,beeng1M2,
25,3,CH AA S,chaas1M2,
25,4,DH IY SH,DHeesh1M2,
25,5,D UW G,doog1M2,
20,1,G IY V,geev1M2,
20,2,SH UW K,shook1M2,
20,3,JH UW NG,joong1M2,
20,4,F UW T,foot1M2,
20,5,HH AA CH,haach1M2,
